############# TAG REMOVAL TIMES #############
002.html, 0.00024175643920898438
003.html, 2.6941299438476562e-05
004.html, 2.7418136596679688e-05
005.html, 4.8160552978515625e-05
006.html, 1.71661376953125e-05
007.html, 9.441375732421875e-05
008.html, 2.5033950805664062e-05
009.html, 5.125999450683594e-05
010.html, 1.52587890625e-05
011.html, 2.574920654296875e-05
012.html, 2.3126602172851562e-05
014.html, 1.7881393432617188e-05
015.html, 1.0967254638671875e-05
016.html, 2.0742416381835938e-05
017.html, 4.220008850097656e-05
018.html, 3.6716461181640625e-05
019.html, 7.319450378417969e-05
020.html, 9.5367431640625e-06
049.html, 1.1205673217773438e-05
A-0-perros-3-gatos-1-pato.html, 2.1457672119140625e-06
B-1-perro-0-gatos-4-patos.html, 2.1457672119140625e-06
C-4-perros-1-gato-1-pato.html, 1.9073486328125e-06
hard.html, 7.62939453125e-06
medium.html, 6.67572021484375e-06
simple.html, 2.86102294921875e-06

Total removal time: 0.0008420944213867188
Total execution time: 0.0008909702301025391
