############# FILE READ TIMES #############
002.html, 0.00010633468627929688
003.html, 8.058547973632812e-05
004.html, 9.584426879882812e-05
005.html, 0.0001201629638671875
006.html, 7.82012939453125e-05
007.html, 0.00012111663818359375
008.html, 9.012222290039062e-05
009.html, 7.891654968261719e-05
010.html, 7.43865966796875e-05
011.html, 7.462501525878906e-05
012.html, 7.367134094238281e-05
014.html, 8.320808410644531e-05
015.html, 9.655952453613281e-05
016.html, 8.20159912109375e-05
017.html, 7.343292236328125e-05
018.html, 7.343292236328125e-05
019.html, 0.0001373291015625
020.html, 7.62939453125e-05
049.html, 7.200241088867188e-05
A-0-perros-3-gatos-1-pato.html, 0.00018286705017089844
B-1-perro-0-gatos-4-patos.html, 7.724761962890625e-05
C-4-perros-1-gato-1-pato.html, 7.581710815429688e-05
hard.html, 7.653236389160156e-05
medium.html, 7.462501525878906e-05
simple.html, 0.00016880035400390625

Total read time: 0.0023441314697265625
Total execution time: 0.0029540061950683594
