DOCUMENTO,REPETICIONES
009.html,8.0
010.html,8.0
011.html,6.0
012.html,20.0
014.html,4.0
015.html,3.0
016.html,2.0
017.html,1.0
002.html,4.0
007.html,4.0
008.html,1.0
009.html,6.0
010.html,1.0
019.html,23.0
002.html,6.0
007.html,10.0
009.html,7.0
010.html,3.0
011.html,4.0
019.html,4.0
002.html,4.0
007.html,4.0
008.html,1.0
009.html,3.0
010.html,1.0
011.html,13.0
016.html,5.0
019.html,26.0
007.html,115.0
009.html,1.0
019.html,35.0
002.html,3.0
004.html,1.0
007.html,4.0
009.html,2.0
010.html,2.0
011.html,3.0
016.html,1.0
017.html,1.0
019.html,7.0
006.html,13.0
007.html,23.0
008.html,10.0
009.html,9.0
010.html,8.0
011.html,7.0
012.html,23.0
014.html,9.0
015.html,4.0
016.html,3.0
017.html,2.0
018.html,1.0
002.html,7.0
007.html,22.0
009.html,9.0
010.html,1.0
011.html,3.0
015.html,1.0
019.html,4.0
002.html,4.0
004.html,1.0
007.html,1.0
009.html,3.0
011.html,3.0
018.html,3.0
019.html,18.0
002.html,1.0
007.html,12.0
009.html,10.0
011.html,5.0
019.html,10.0
002.html,92.0
009.html,1.0
016.html,4.0
017.html,2.0
007.html,102.0
002.html,4.0
008.html,1.0
009.html,1.0
010.html,6.0
019.html,8.0
002.html,6.0
007.html,5.0
010.html,1.0
011.html,4.0
012.html,4.0
002.html,1.0
007.html,8.0
008.html,1.0
009.html,6.0
010.html,1.0
011.html,2.0
016.html,2.0
019.html,7.0
004.html,13.0
005.html,13.0
006.html,12.0
007.html,11.0
008.html,10.0
009.html,9.0
010.html,8.0
011.html,7.0
012.html,6.0
014.html,5.0
015.html,4.0
002.html,1.0
005.html,1.0
006.html,2.0
007.html,3.0
008.html,4.0
009.html,5.0
010.html,6.0
011.html,7.0
012.html,26.0
014.html,9.0
015.html,10.0
016.html,11.0
017.html,11.0
002.html,4.0
007.html,13.0
008.html,1.0
009.html,3.0
010.html,1.0
011.html,5.0
018.html,1.0
019.html,18.0
003.html,2.0
007.html,10.0
008.html,1.0
010.html,1.0
011.html,2.0
016.html,1.0
018.html,1.0
019.html,5.0
002.html,5.0
003.html,2.0
007.html,1.0
019.html,50.0
002.html,2.0
008.html,6.0
